ticker,date,close,rendement,volatilite,lag1,lag2,lag3,lag4,lag5,vol_moy_5j,vol_moy_10j,vol_moy_20j
NVDA,1999-02-23,0.419733,0.0447450656026225,0.0447450656026225,0.0058145727629752,0.0352575364983312,0.0118608810882125,0.0529329903495191,0.0058145727629752,0.02233611069240264,0.03287985149215186,0.03810854944106408
NVDA,1999-02-24,0.454131,0.0787669078356953,0.0787669078356953,0.0447450656026225,0.0058145727629752,0.0352575364983312,0.0118608810882125,0.0529329903495191,0.0301222092603321,0.03363397764896492,0.03541471838050113
NVDA,1999-02-25,0.440286,-0.0309611869215861,0.0309611869215861,0.0787669078356953,0.0447450656026225,0.0058145727629752,0.0352575364983312,0.0118608810882125,0.03528899275756735,0.03767187451220773,0.035324561692528185
NVDA,1999-02-26,0.419733,-0.0478057209141091,0.0478057209141091,0.0309611869215861,0.0787669078356953,0.0447450656026225,0.0058145727629752,0.0352575364983312,0.03910905392424206,0.04011672625397471,0.036872621038607487
NVDA,1999-03-01,0.4219,0.0051495242905982,0.0051495242905982,0.0478057209141091,0.0309611869215861,0.0787669078356953,0.0447450656026225,0.0058145727629752,0.04161869080739765,0.03668685707121806,0.038963677899036944
NVDA,1999-03-02,0.417406,-0.0107089498899805,0.0107089498899805,0.0051495242905982,0.0478057209141091,0.0309611869215861,0.0787669078356953,0.0447450656026225,0.041485681112922244,0.03191089590266244,0.03675920034800251
NVDA,1999-03-03,0.389812,-0.068394797622743,0.068394797622743,0.0107089498899805,0.0051495242905982,0.0478057209141091,0.0309611869215861,0.0787669078356953,0.034678457970393844,0.03240033361536297,0.036352379024821344
NVDA,1999-03-04,0.380673,-0.0237238327300162,0.0237238327300162,0.068394797622743,0.0107089498899805,0.0051495242905982,0.0478057209141091,0.0309611869215861,0.03260403592780338,0.03394651434268536,0.03588440066715239
NVDA,1999-03-05,0.401366,0.0529329903495192,0.0529329903495192,0.0237238327300162,0.068394797622743,0.0107089498899805,0.0051495242905982,0.0478057209141091,0.031156565089489396,0.03513280950686574,0.036057945673527256
NVDA,1999-03-08,0.408209,0.0169055689112969,0.0169055689112969,0.0529329903495192,0.0237238327300162,0.068394797622743,0.0107089498899805,0.0051495242905982,0.03218201897657142,0.036900354891984524,0.03614968354674382
NVDA,1999-03-09,0.4219,0.0329890209819239,0.0329890209819239,0.0169055689112969,0.0529329903495192,0.0237238327300162,0.068394797622743,0.0107089498899805,0.03453322790071116,0.0380094545068167,0.03544465299948428
NVDA,1999-03-10,0.41509,-0.0162729549420655,0.0162729549420655,0.0329890209819239,0.0169055689112969,0.0529329903495192,0.0237238327300162,0.068394797622743,0.038989242119099835,0.03683385004474684,0.03523391384685588
NVDA,1999-03-11,0.396771,-0.0451360761257442,0.0451360761257442,0.0162729549420655,0.0329890209819239,0.0169055689112969,0.0529329903495192,0.0237238327300162,0.028564873582964334,0.03058445475538386,0.03412816463379579
NVDA,1999-03-12,0.389812,-0.0176947164449137,0.0176947164449137,0.0451360761257442,0.0162729549420655,0.0329890209819239,0.0169055689112969,0.0529329903495192,0.03284732226210994,0.03200194367579967,0.03605933496488719
NVDA,1999-03-15,0.40596,0.0405900609630479,0.0405900609630479,0.0176947164449137,0.0451360761257442,0.0162729549420655,0.0329890209819239,0.0169055689112969,0.025799667481188837,0.028990843228880132,0.0328388501500491
