lag1,lag2,lag3,lag4,lag5,vol_moy_5j,vol_moy_10j,vol_moy_20j
9.38916127779521e-05,-0.0011636781273409724,-0.0013116288464516401,-0.0014942854177206755,-0.0007427321979776025,-0.0010974243050441146,-0.0038950813468545675,-0.007917854003608227
-0.004038944840431213,-0.0003959422174375504,-0.0012540025636553764,-0.000352422590367496,-0.0011930206092074513,-0.0004860822227783501,-0.003710815915837884,-0.006194335874170065
0.00015885065658949316,-0.000930398644413799,0.0005201454041525722,-0.0005476590013131499,-0.00025507653481326997,6.124631181592122e-05,-0.006354174111038446,-0.010850152000784874
-0.0030740543734282255,-0.000944862375035882,-0.0025656092911958694,-0.0003756863879971206,-0.0009107233490794897,-0.0004588202282320708,-0.004300873726606369,-0.005595904774963856
-0.0032360691111534834,-0.0019121435470879078,-0.00013745127944275737,-0.0021961696911603212,-6.620577187277377e-05,0.0006390230264514685,-0.0029388077091425657,-0.008045978844165802
-0.0008561674621887505,-0.0006929764058440924,-0.0027095458935946226,-2.796871558530256e-05,-0.0013016096781939268,-0.0016347034834325314,-0.003831234062090516,-0.004568048287183046
-0.003716228296980262,-0.0009870246285572648,-0.002022025641053915,-0.001156998099759221,-0.0003970727266278118,1.7261083485209383e-05,-0.0031815117690712214,-0.00625604996457696
-2.550990757299587e-05,-0.002468178980052471,-0.00041711513767950237,-0.0015491003869101405,-0.0014039023080840707,-0.0018156006699427962,-0.004071067553013563,-0.00667374674230814
-0.0005600537988357246,-0.0005508854519575834,-0.0035847467370331287,-5.5348304158542305e-05,-0.0007788214716129005,-0.0006311342003755271,-0.003973660059273243,-0.006209799088537693
-0.004847156815230846,-0.0010677431710064411,-0.0007759068394079804,-0.001296023721806705,-0.000999024836346507,-0.0005548648769035935,-0.003813609480857849,-0.006606338545680046
0.0009971343679353595,-0.0016243965364992619,-0.0003622461517807096,0.00032163740252144635,-0.0008798422059044242,-0.001129930024035275,-0.0060034547932446,-0.00731554813683033
0.00021535066480282694,-0.0006257985369302332,-0.002835110994055867,-0.0004496107285376638,-0.0005619318108074367,-0.0023888656869530678,-0.0014880083035677671,-0.006293871905654669
-0.0016770261572673917,-0.0008947618771344423,-0.00015792431076988578,-0.0019789489451795816,-0.0003919255395885557,4.557413558359258e-05,-0.002875329926609993,-0.007754756137728691
-0.0037356296088546515,-0.00047442264622077346,-0.0005175622063688934,-0.00026459869695827365,-0.0015672765439376235,-0.0008491272456012666,-0.004217623267322779,-0.004283349961042404
-0.00409737229347229,-0.0006239887443371117,-0.0019987632986158133,-0.0007731635123491287,-0.0007227113819681108,0.0007731369114480913,-0.004643651656806469,-0.009477652609348297
-0.00029897503554821014,-0.0012041095178574324,-0.0035892880987375975,-0.0009735587518662214,-0.00024596857838332653,0.0010055879829451442,-0.004235824570059776,-0.009925838559865952
-0.0015705947298556566,-0.0010367584181949496,-0.0029144512955099344,-0.0003241065423935652,-0.0003615928872022778,0.00013939176278654486,-0.0034696743823587894,-0.008352001197636127
-0.0037048908416181803,-0.0013550244038924575,-0.0006548232049681246,-0.0015442747389897704,-0.0013340319273993373,-0.0006081141764298081,-0.003962713293731213,-0.006643416825681925
