ticker,date,close,rendement,volatilite
NVDA,1999-01-25,0.41509,0.0986216868138814,0.0986216868138814
NVDA,1999-01-26,0.382958,-0.08057004159515428,0.08057004159515428
NVDA,1999-01-27,0.382958,0.0,0.0
NVDA,1999-01-28,0.380673,-0.005984583705519996,0.005984583705519996
NVDA,1999-01-29,0.362383,-0.04923907531128714,0.04923907531128714
NVDA,1999-02-01,0.369277,0.018845376353603806,0.018845376353603806
NVDA,1999-02-02,0.341652,-0.07775436477612191,0.07775436477612191
NVDA,1999-02-03,0.348642,0.020252932602519046,0.020252932602519046
NVDA,1999-02-04,0.36692,0.05109823288518809,0.05109823288518809
NVDA,1999-02-05,0.378475,0.031006179856487695,0.031006179856487695
NVDA,1999-02-08,0.364653,-0.03720380403449198,0.03720380403449198
NVDA,1999-02-09,0.35092,-0.03838793920326739,0.03838793920326739
NVDA,1999-02-10,0.348642,-0.0065126695039162755,0.0065126695039162755
NVDA,1999-02-11,0.378475,0.0821044127416756,0.0821044127416756
NVDA,1999-02-12,0.399039,0.05290913597615446,0.05290913597615446
NVDA,1999-02-16,0.401366,0.005814572762975269,0.005814572762975269
NVDA,1999-02-17,0.380673,-0.05293299034951918,0.05293299034951918
NVDA,1999-02-18,0.385215,0.011860881088212587,0.011860881088212587
NVDA,1999-02-19,0.399039,0.03525753649833127,0.03525753649833127
NVDA,1999-02-22,0.401366,0.005814572762975269,0.005814572762975269
NVDA,1999-02-23,0.419733,0.04474506560262252,0.04474506560262252
NVDA,1999-02-24,0.454131,0.07876690783569533,0.07876690783569533
NVDA,1999-02-25,0.440286,-0.03096118692158615,0.03096118692158615
NVDA,1999-02-26,0.419733,-0.04780572091410916,0.04780572091410916
NVDA,1999-03-01,0.4219,0.005149524290598296,0.005149524290598296
NVDA,1999-03-02,0.417406,-0.010708949889980583,0.010708949889980583
NVDA,1999-03-03,0.389812,-0.068394797622743,0.068394797622743
NVDA,1999-03-04,0.380673,-0.023723832730016277,0.023723832730016277
NVDA,1999-03-05,0.401366,0.05293299034951923,0.05293299034951923
NVDA,1999-03-08,0.408209,0.016905568911296912,0.016905568911296912
NVDA,1999-03-09,0.4219,0.03298902098192399,0.03298902098192399
NVDA,1999-03-10,0.41509,-0.01627295494206551,0.01627295494206551
NVDA,1999-03-11,0.396771,-0.045136076125744266,0.045136076125744266
NVDA,1999-03-12,0.389812,-0.017694716444913775,0.017694716444913775
NVDA,1999-03-15,0.40596,0.04059006096304796,0.04059006096304796
NVDA,1999-03-16,0.392108,-0.03471732053203997,0.03471732053203997
NVDA,1999-03-17,0.394424,0.0058891607554772745,0.0058891607554772745
NVDA,1999-03-18,0.401366,0.017447256433017644,0.017447256433017644
NVDA,1999-03-19,0.401366,0.0,0.0
NVDA,1999-03-22,0.389812,-0.029209157619502848,0.029209157619502848
NVDA,1999-03-23,0.364653,-0.06671835515411882,0.06671835515411882
NVDA,1999-03-24,0.362383,-0.006244552887184617,0.006244552887184617
NVDA,1999-03-25,0.36692,0.012442177065188981,0.012442177065188981
NVDA,1999-03-26,0.401366,0.08972988859561724,0.08972988859561724
NVDA,1999-03-29,0.412802,0.028094329879784365,0.028094329879784365
NVDA,1999-03-30,0.378475,-0.086818038618914,0.086818038618914
NVDA,1999-03-31,0.403614,0.0643089551896157,0.0643089551896157
NVDA,1999-04-01,0.392108,-0.02892166363898082,0.02892166363898082
NVDA,1999-04-05,0.380673,-0.02959657316102436,0.02959657316102436
NVDA,1999-04-06,0.369277,-0.03039369895768329,0.03039369895768329
NVDA,1999-04-07,0.401366,0.08332668930720237,0.08332668930720237
NVDA,1999-04-08,0.408209,0.016905568911296912,0.016905568911296912
NVDA,1999-04-09,0.401366,-0.016905568911296895,0.016905568911296895
NVDA,1999-04-12,0.385215,-0.041072109261306555,0.041072109261306555
NVDA,1999-04-13,0.369277,-0.042254580045895815,0.042254580045895815
NVDA,1999-04-14,0.357761,-0.03168187423715037,0.03168187423715037
NVDA,1999-04-15,0.36692,0.025278674948735442,0.025278674948735442
NVDA,1999-04-16,0.380673,0.03679689824609827,0.03679689824609827
NVDA,1999-04-19,0.362383,-0.04923907531128714,0.04923907531128714
NVDA,1999-04-20,0.355414,-0.019418356397466148,0.019418356397466148
NVDA,1999-04-21,0.362383,0.01941835639746614,0.01941835639746614
NVDA,1999-04-22,0.346275,-0.0454684065151036,0.0454684065151036
NVDA,1999-04-23,0.330246,-0.047395425768415114,0.047395425768415114
NVDA,1999-04-26,0.311908,-0.05712955876137255,0.05712955876137255
NVDA,1999-04-27,0.346275,0.10452498452978756,0.10452498452978756
NVDA,1999-04-28,0.343949,-0.006739866492696916,0.006739866492696916
NVDA,1999-04-29,0.343949,0.0,0.0
NVDA,1999-04-30,0.348642,0.01355221718780142,0.01355221718780142
NVDA,1999-05-03,0.35092,0.006512669503916262,0.006512669503916262
NVDA,1999-05-04,0.332593,-0.053638757024696365,0.053638757024696365
NVDA,1999-05-05,0.339413,0.020298134718550787,0.020298134718550787
NVDA,1999-05-06,0.332593,-0.020298134718550825,0.020298134718550825
NVDA,1999-05-07,0.334858,0.006787041129789452,0.006787041129789452
NVDA,1999-05-10,0.334858,0.0,0.0
NVDA,1999-05-11,0.353266,0.053514752874976486,0.053514752874976486
NVDA,1999-05-12,0.362383,0.025480349336013154,0.025480349336013154
NVDA,1999-05-13,0.362383,0.0,0.0
NVDA,1999-05-14,0.343949,-0.052208273007800565,0.052208273007800565
NVDA,1999-05-17,0.360028,0.045688415634933664,0.045688415634933664
NVDA,1999-05-18,0.378475,0.04996821429454343,0.04996821429454343
NVDA,1999-05-19,0.360028,-0.04996821429454354,0.04996821429454354
NVDA,1999-05-20,0.332593,-0.07926228596791227,0.07926228596791227
NVDA,1999-05-21,0.325631,-0.02115468179396706,0.02115468179396706
NVDA,1999-05-24,0.323345,-0.007044973788930896,0.007044973788930896
NVDA,1999-05-25,0.325631,0.007044973788930804,0.007044973788930804
NVDA,1999-05-26,0.325631,0.0,0.0
NVDA,1999-05-27,0.323345,-0.007044973788930896,0.007044973788930896
NVDA,1999-05-28,0.325631,0.007044973788930804,0.007044973788930804
NVDA,1999-06-01,0.327928,0.0070292336511738555,0.0070292336511738555
NVDA,1999-06-02,0.314216,-0.04271342458870938,0.04271342458870938
NVDA,1999-06-03,0.323345,0.028639217148604616,0.028639217148604616
NVDA,1999-06-04,0.325631,0.007044973788930804,0.007044973788930804
NVDA,1999-06-07,0.330246,0.01407299285122762,0.01407299285122762
NVDA,1999-06-08,0.337257,0.021007419695353982,0.021007419695353982
NVDA,1999-06-09,0.343949,0.019648139580364096,0.019648139580364096
NVDA,1999-06-10,0.343949,0.0,0.0
NVDA,1999-06-11,0.337257,-0.01964813958036419,0.01964813958036419
NVDA,1999-06-14,0.325631,-0.03508041254658153,0.03508041254658153
NVDA,1999-06-15,0.325631,0.0,0.0
NVDA,1999-06-16,0.334858,0.02794172292375659,0.02794172292375659
NVDA,1999-06-17,0.325631,-0.027941722923756643,0.027941722923756643
NVDA,1999-06-18,0.311908,-0.04305656591014493,0.04305656591014493
NVDA,1999-06-21,0.330246,0.05712955876137251,0.05712955876137251
NVDA,1999-06-22,0.323345,-0.021117966640158504,0.021117966640158504
NVDA,1999-06-23,0.330246,0.02111796664015844,0.02111796664015844
NVDA,1999-06-24,0.323345,-0.021117966640158504,0.021117966640158504
NVDA,1999-06-25,0.327928,0.014074207440104835,0.014074207440104835
NVDA,1999-06-28,0.332593,0.014125448142793227,0.014125448142793227
NVDA,1999-06-29,0.334858,0.006787041129789452,0.006787041129789452
NVDA,1999-06-30,0.364653,0.08523965509817436,0.08523965509817436
NVDA,1999-07-01,0.346275,-0.051712959402288185,0.051712959402288185
NVDA,1999-07-02,0.371564,0.07048786682167736,0.07048786682167736
NVDA,1999-07-06,0.373859,0.0061575970997161025,0.0061575970997161025
NVDA,1999-07-07,0.364653,-0.024932504519105052,0.024932504519105052
NVDA,1999-07-08,0.373859,0.024932504519105118,0.024932504519105118
NVDA,1999-07-09,0.40596,0.08237591159806189,0.08237591159806189
NVDA,1999-07-12,0.424227,0.04401405674650394,0.04401405674650394
NVDA,1999-07-13,0.424227,0.0,0.0
NVDA,1999-07-14,0.408209,-0.03848939117875232,0.03848939117875232
NVDA,1999-07-15,0.410485,0.005560089272584759,0.005560089272584759
NVDA,1999-07-16,0.419733,0.022279407418740876,0.022279407418740876
NVDA,1999-07-19,0.408209,-0.027839496691325644,0.027839496691325644
NVDA,1999-07-20,0.401366,-0.016905568911296895,0.016905568911296895
NVDA,1999-07-21,0.389812,-0.029209157619502848,0.029209157619502848
NVDA,1999-07-22,0.371564,-0.04794344773472982,0.04794344773472982
NVDA,1999-07-23,0.371564,0.0,0.0
NVDA,1999-07-26,0.373859,0.0061575970997161025,0.0061575970997161025
NVDA,1999-07-27,0.373859,0.0,0.0
NVDA,1999-07-28,0.380673,0.018062017904997566,0.018062017904997566
NVDA,1999-07-29,0.382958,0.005984583705519945,0.005984583705519945
NVDA,1999-07-30,0.385215,0.00587629738269243,0.00587629738269243
NVDA,1999-08-02,0.387534,0.006001966904021416,0.006001966904021416
NVDA,1999-08-03,0.378475,-0.023653566381844567,0.023653566381844567
NVDA,1999-08-04,0.378475,0.0,0.0
NVDA,1999-08-05,0.385215,0.017651599477823136,0.017651599477823136
NVDA,1999-08-06,0.385215,0.0,0.0
NVDA,1999-08-09,0.385215,0.0,0.0
NVDA,1999-08-10,0.392108,0.017735692072811882,0.017735692072811882
NVDA,1999-08-11,0.417406,0.06252205719173501,0.06252205719173501
NVDA,1999-08-12,0.43807,0.04831934571829957,0.04831934571829957
NVDA,1999-08-13,0.433555,-0.010360052506752523,0.010360052506752523
NVDA,1999-08-16,0.417406,-0.037959293211546966,0.037959293211546966
NVDA,1999-08-17,0.417406,0.0,0.0
NVDA,1999-08-18,0.426566,0.021707733667609995,0.021707733667609995
NVDA,1999-08-19,0.518248,0.1946867892591791,0.1946867892591791
NVDA,1999-08-20,0.513755,-0.008707394043918956,0.008707394043918956
NVDA,1999-08-23,0.481535,-0.06476758001481497,0.06476758001481497
NVDA,1999-08-24,0.479269,-0.004716891689385024,0.004716891689385024
NVDA,1999-08-25,0.477052,-0.004636526797256774,0.004636526797256774
NVDA,1999-08-26,0.47008,-0.014722606636213234,0.014722606636213234
NVDA,1999-08-27,0.497685,0.0570644537870846,0.0570644537870846
NVDA,1999-08-30,0.495358,-0.00468661328714029,0.00468661328714029
NVDA,1999-08-31,0.536626,0.08002065655625056,0.08002065655625056
NVDA,1999-09-01,0.511458,-0.048035919458304925,0.048035919458304925
NVDA,1999-09-02,0.506763,-0.009222031904960555,0.009222031904960555
NVDA,1999-09-03,0.50916,0.004718870323791959,0.004718870323791959
NVDA,1999-09-07,0.506763,-0.004718870323791942,0.004718870323791942
NVDA,1999-09-08,0.506763,0.0,0.0
NVDA,1999-09-09,0.499872,-0.0136913730298436,0.0136913730298436
NVDA,1999-09-10,0.506763,0.013691373029843655,0.013691373029843655
NVDA,1999-09-13,0.490744,-0.032120831781023304,0.032120831781023304
NVDA,1999-09-14,0.474694,-0.03325222098185451,0.03325222098185451
NVDA,1999-09-15,0.479269,0.009591640503418585,0.009591640503418585
NVDA,1999-09-16,0.467783,-0.024257513245603598,0.024257513245603598
NVDA,1999-09-17,0.465536,-0.004815083248909669,0.004815083248909669
